hub,build_smr,build_electrolyzer,transportationFuel_tonnesperday,transportationFuel_carbonSensitive_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,capital_pm,ng_usd_per_mmbtu,e_usd_per_kwh,
brazoria,1,1,0,0,0,538,0.78,2.905,0.09,# price multipliers are random
freeport,1,1,0,0,0,538,1.03,2.905,0.05775,# based on industiral_electricity_usd_per_kwh = 0.075
chocolateBay,1,1,0,0,0,538,1.04,3.99,0.08175,# and industrial_ng_usd_per_mmbtu = 3.50
texasCity,1,1,0,0,0,538,0.95,3.185,0.06525,
laPorte,1,1,0,0,0,538,1.25,2.485,0.0735,
sanJacinto,1,1,0,0,0,538,0.77,3.92,0.09375,
deerPark,1,1,0,0,0,538,1.16,3.5,0.05775,
pasadena,1,1,37.5,12.5,0,538,1.24,2.765,0.07725,
channelview,1,1,0,0,0,538,1.27,3.57,0.06225,
montBelvieu,1,1,0,0,0,538,1.01,4.445,0.075,
baytown,1,1,0,0,0,538,1.21,3.08,0.072,
portArthur,1,1,0,0,0,538,0.87,3.43,0.054,
medicalCenter,1,0,0,0,0,0,1.08,2.94,0.054,
beaumont,1,1,0,0,0,538,0.7,3.535,0.078,
orange,1,1,375,125,0,538,0.82,3.15,0.08925,
elPaso,1,1,375,125,0,0,0.73,3.36,0.05325,
vanHorn,1,0,375,125,0,0,0.76,3.99,0.0885,
sonora,1,0,375,125,0,0,1.12,3.71,0.05625,
midland,1,0,375,125,0,0,0.8,3.78,0.078,
abilene,1,0,375,125,0,0,0.88,2.485,0.05475,
texarkana,1,0,375,125,0,0,1.23,3.185,0.057,
waco,1,0,375,125,0,0,1.1,4.305,0.05475,
centerville,1,0,375,125,0,0,1.08,3.255,0.0855,
corpusChristi,1,0,375,125,0,0,0.84,4.165,0.0915,
mcallen,1,0,375,125,0,0,1.05,3.465,0.05925,
laredo,1,0,375,125,0,0,0.83,2.52,0.05925,
houston,1,0,375,125,0,0,1.03,3.815,0.0525,
sanAntonio,1,0,375,125,0,0,0.83,4.375,0.08775,
austin,1,1,375,125,0,0,1.24,3.22,0.09075,
dallas,1,0,375,125,0,0,0.94,4.375,0.08925,
