consumer,cons_size,cons_h,carbon_sensitive_fraction,cons_checs,cons_price
abilene_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
austin_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
baytown_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
beaumont_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
brazoria_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
centerville_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
channelview_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
chocolateBay_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
corpusChristi_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
dallas_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
deerPark_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
elPaso_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
freeport_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
houston_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
laPorte_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
laredo_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
mcallen_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
midland_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
montBelvieu_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
orange_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
orange_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
pasadena_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
pasadena_demandSector_transportationFuel,50.0,50.0,0.25,12.5,10000.0
portArthur_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
sanAntonio_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
sanJacinto_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
sonora_demandSector_transportationFuel,500.0,500.0000000000002,0.25,125.00000000000006,10000.0
texarkana_demandSector_transportationFuel,500.0,500.0000000000004,0.25,125.0000000000001,10000.0
texasCity_demandSector_existing,538.0,538.0,0.0,0.0,5000.0
vanHorn_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
waco_demandSector_transportationFuel,500.0,500.0,0.25,125.0,10000.0
pasadena_priceFuelStation_8.05,1e-05,1e-05,0.0,0.0,8050.000000000001
pasadena_priceLowPurity_3.00,1e-05,1e-05,0.0,0.0,3000.0
