arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
abilene_center_highPurity,abilene_dist_truckLiquefied,375.0,894080.0,122.47840000000001,0.0,8.0,3000.0
abilene_center_lowPurity,abilene_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,3000.0
abilene_converter_fuelDispenserLiquid,abilene_demand_fuelStation,63.0,0.0,0.0,0.0,8.0,500.0
abilene_demand_fuelStation,abilene_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,375.0
abilene_demand_fuelStation,abilene_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,125.0
abilene_dist_truckLiquefied,abilene_converter_fuelDispenserLiquid,62.99999999999999,0.0,0.0,0.0,8.0,500.0
abilene_dist_truckLiquefied,austin_dist_truckLiquefied,63.0,0.0,0.0,181.518435,8.0,500.0
abilene_dist_truckLiquefied,dallas_dist_truckLiquefied,63.0,0.0,0.0,150.004566,8.0,500.0
abilene_dist_truckLiquefied,midland_dist_truckLiquefied,63.0,0.0,0.0,121.073031,8.0,500.0
abilene_dist_truckLiquefied,sonora_dist_truckLiquefied,63.0,0.0,0.0,127.495563,8.0,500.0
abilene_dist_truckLiquefied,waco_dist_truckLiquefied,64.0,0.0,0.0,161.133888,8.0,500.0
abilene_production_smr,abilene_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,3000.0
austin_center_highPurity,austin_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,2.4000000000000017
austin_center_lowPurity,austin_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,2.4000000000000017
austin_converter_fuelDispenserLiquid,austin_demand_fuelStation,63.0,0.0,0.0,0.0,8.0,500.61999999999944
austin_demand_fuelStation,austin_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,375.0
austin_demand_fuelStation,austin_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,125.0
austin_dist_pipelineHighPurity,austin_demand_highPurity,1.0,0.0,0.0,0.0,999999.0,1.2000000000000008
austin_dist_pipelineHighPurity,austin_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,1.2000000000000008
austin_dist_pipelineLowPurity,austin_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,2.4000000000000017
austin_dist_truckLiquefied,austin_converter_fuelDispenserLiquid,64.0,0.0,0.0,0.0,8.0,500.61999999999944
baytown_center_lowPurity,baytown_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
baytown_demand_lowPurity,baytown_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
baytown_dist_pipelineLowPurity,baytown_demand_lowPurity,68.0,0.0,0.0,0.0,8.0,538.0
baytown_dist_pipelineLowPurity,montBelvieu_dist_pipelineLowPurity,1.0,26701005.599999998,3295.52952,2.0045800000000003,999999.0,1200.7999999997674
baytown_production_smrExisting,baytown_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
beaumont_center_highPurity,beaumont_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
beaumont_center_highPurity,beaumont_dist_truckLiquefied,71.0,711200.0,97.426,0.0,8.0,500.0
beaumont_center_lowPurity,beaumont_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,1038.0
beaumont_demand_lowPurity,beaumont_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
beaumont_dist_pipelineHighPurity,beaumont_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0
beaumont_dist_pipelineLowPurity,beaumont_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,1038.0
beaumont_dist_truckLiquefied,texarkana_dist_truckLiquefied,62.99999999999999,0.0,0.0,214.62279,8.0,500.0
brazoria_center_highPurity,brazoria_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
brazoria_center_lowPurity,brazoria_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
brazoria_demand_lowPurity,brazoria_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
brazoria_dist_pipelineHighPurity,brazoria_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0
brazoria_dist_pipelineLowPurity,brazoria_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
centerville_center_highPurity,centerville_dist_truckLiquefied,62.00000000000001,1097280.0,150.3144,0.0,8.0,496.00000000000006
centerville_center_lowPurity,centerville_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,496.00000000000006
centerville_center_lowPurity,centerville_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,2.3999999999999773
centerville_converter_fuelDispenserLiquid,centerville_demand_fuelStation,63.0,0.0,0.0,0.0,8.0,500.0
centerville_demand_fuelStation,centerville_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,375.0
centerville_demand_fuelStation,centerville_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,125.0
centerville_dist_pipelineLowPurity,austin_dist_pipelineLowPurity,2.400002400002402e-06,319596796.8,37745.48376,22.959540000000004,999999.0,2.4000000000000017
centerville_dist_truckLiquefied,centerville_converter_fuelDispenserLiquid,62.99999999999999,0.0,0.0,0.0,8.0,500.0
centerville_production_smr,centerville_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,498.40000000000003
channelview_center_highPurity,channelview_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,537.9999999997672
channelview_center_lowPurity,channelview_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,537.9999999997672
channelview_demand_lowPurity,channelview_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
channelview_dist_pipelineHighPurity,channelview_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0
channelview_dist_pipelineLowPurity,channelview_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,321.0999999997672
channelview_production_smrExisting,channelview_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,216.9
chocolateBay_center_highPurity,chocolateBay_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
chocolateBay_center_lowPurity,chocolateBay_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
chocolateBay_demand_lowPurity,chocolateBay_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
chocolateBay_dist_pipelineHighPurity,chocolateBay_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0
chocolateBay_dist_pipelineLowPurity,chocolateBay_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,538.0
chocolateBay_dist_pipelineLowPurity,freeport_dist_pipelineLowPurity,1.0,61801920.00000001,8180.544,4.976,999999.0,642.2
corpusChristi_converter_fuelDispenserLiquid,corpusChristi_demand_fuelStation,63.0,0.0,0.0,0.0,8.0,500.0
corpusChristi_demand_fuelStation,corpusChristi_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,375.0
