producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
abilene_production_smr,3333.3333333333335,0.9,3000.0,268002.9395288418,184800.0,270000.0,93622.5,1164843.75,0.0,9.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,1981269.1895288418
baytown_production_smrExisting,482.0,0.9,433.8,0.0,0.0,43380.0,18740.16,220457.16,0.0,4.05,0.55,0.55,238.59,107365.50000000001,1756.8899999999999,0.0,2147.31,107365.5,282577.32
brazoria_production_smr,1311.3333333333335,0.9,1180.2,93451.40681852747,64438.920000000006,106218.0,60544.26,535700.15625,0.0,9.0,0.0,0.0,0.0,0.0,10621.800000000001,0.0,0.0,0.0,860352.7430685274
channelview_production_smrExisting,241.0,0.9,216.9,0.0,0.0,21690.0,8101.215,127764.94499999999,0.0,4.05,0.55,0.55,119.295,53682.75000000001,878.4449999999999,0.0,1073.655,53682.75,157556.15999999997
elPaso_production_smr,1111.1111111108526,0.9,999.9999999997672,74106.87343030643,51099.999999988104,89999.99999997905,30352.49999999293,524999.9999998778,0.0,9.0,0.0,0.0,0.0,0.0,8999.999999997905,0.0,0.0,0.0,770559.3734301443
freeport_production_smrExisting,482.0,0.9,433.8,0.0,0.0,43380.0,15031.17,207931.185,0.0,4.05,0.55,0.55,238.59,107365.50000000001,1756.8899999999999,0.0,2147.31,107365.5,266342.355
laPorte_production_smr,649.7793222222243,0.9,584.8013900000019,74208.56607980737,51170.12162500017,52632.12510000017,24500.254234050077,227067.41471093823,0.0,9.0,0.0,0.0,0.0,0.0,5263.212510000018,0.0,0.0,0.0,429578.481749796
laPorte_production_smrExisting,1264.0,0.9,1137.6000000000001,0.0,0.0,113760.00000000001,50168.159999999996,466444.44,0.0,4.05,0.55,0.55,625.6800000000002,281556.00000000006,4607.280000000001,0.0,5631.120000000002,281556.00000000006,630372.6000000001
laredo_production_smr,2777.777777777781,0.9,2500.0000000000027,210646.249819071,145250.00000000015,225000.00000000023,84431.25000000009,984375.000000001,0.0,9.0,0.0,0.0,0.0,0.0,22500.000000000025,0.0,0.0,0.0,1649702.4998190724
montBelvieu_production_smrExisting,241.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasadena_production_smrExisting,482.0,0.9,433.8,0.0,0.0,43380.0,20106.63,197910.40500000003,0.0,4.05,0.55,0.55,238.59,107365.50000000001,1756.8899999999999,0.0,2147.31,107365.5,261397.03500000003
portArthur_production_smrExisting,1927.0,0.9,1734.3,0.0,0.0,173430.0,56191.31999999999,981527.0850000001,0.0,4.05,0.55,0.55,953.865,429239.25,7023.914999999999,0.0,8584.785,429239.25,1211148.405
texasCity_production_smrExisting,3252.0,0.9,2926.8,0.0,0.0,292680.0,114584.22,1538106.57,0.0,9.0,0.0,0.0,0.0,0.0,26341.2,0.0,0.0,0.0,1945370.79
