consumer,co2_nonHydrogenConsumer,cons_breakevenCarbon,cons_carbonSensitive,cons_h,cons_hblack,cons_price,cons_size
austin_demandSector_transportationFuel,0.0,17.4,0,45.0,0.0,10000.0,45.0
austin_demandSector_transportationFuel_carbonSensitive,0.0,17.4,1,15.0,15.0,10000.0,15.0
baytown_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
beaumont_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
brazoria_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
centerville_demandSector_transportationFuel,0.0,17.4,0,15.0,0.0,10000.0,15.0
centerville_demandSector_transportationFuel_carbonSensitive,0.0,17.4,1,5.0,5.0,10000.0,5.0
channelview_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
chocolateBay_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
dallas_demandSector_transportationFuel,0.0,17.4,0,82.5,0.0,10000.0,82.5
dallas_demandSector_transportationFuel_carbonSensitive,0.0,17.4,1,27.5,27.5,10000.0,27.5
deerPark_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
freeport_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
laPorte_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
montBelvieu_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
orange_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
pasadena_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
pasadena_demandSector_transportationFuel,0.0,17.4,0,37.5,0.0,10000.0,37.5
pasadena_demandSector_transportationFuel_carbonSensitive,0.0,17.4,1,12.5,12.5,10000.0,12.5
portArthur_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
sanAntonio_demandSector_transportationFuel,0.0,17.4,0,75.0,0.0,10000.0,75.0
sanAntonio_demandSector_transportationFuel_carbonSensitive,0.0,17.4,1,25.0,25.0,10000.0,25.0
sanJacinto_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
texasCity_demandSector_existing,0.0,18.0,0,538.0,0.0,5000.0,538.0
waco_demandSector_transportationFuel,0.0,17.4,0,37.5,0.0,10000.0,37.5
waco_demandSector_transportationFuel_carbonSensitive,0.0,17.4,1,12.5,12.5,10000.0,12.5
