convertor,conv_capacity,conv_cost_capital_coeff,conv_cost_fixed,conv_cost_variable,conv_kwh_variable_coeff,conv_utilization,fuelStation_cost_capital_subsidy
abilene_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
austin_converter_fuelDispenserGas,834.7,0.0,1575.0,0,1970.0,0.6,0.0
baytown_converter_compression,0.842105263157847,1000000.0,0.0,0,850.0,0.95,n/a
baytown_converter_purification,0.842105263157847,480000.0,0.0,0,1800.0,0.95,n/a
baytown_converter_terminalGas,0.941176470588182,750500.0,260.0,0,0.0,0.85,n/a
centerville_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
corpusChristi_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
dallas_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
elPaso_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
freeport_converter_compression,1052.63157894737,1000000.0,0.0,0,850.0,0.95,n/a
freeport_converter_purification,1052.63157894737,480000.0,0.0,0,1800.0,0.95,n/a
freeport_converter_terminalGas,1176.47058823529,750500.0,260.0,0,0.0,0.85,n/a
houston_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
laredo_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
mcallen_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
midland_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
orange_converter_compression,525.473684210526,1000000.0,0.0,0,850.0,0.95,n/a
orange_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
orange_converter_purification,525.473684210526,480000.0,0.0,0,1800.0,0.95,n/a
orange_converter_terminalGas,587.294117647059,750500.0,260.0,0,0.0,0.85,n/a
pasadena_converter_compression,3817.54736842105,1000000.0,0.0,0,850.0,0.95,n/a
pasadena_converter_fuelDispenserGas,84.75,0.0,1575.0,0,1970.0,0.6,0.0
pasadena_converter_purification,3817.54736842105,480000.0,0.0,0,1800.0,0.95,n/a
pasadena_converter_terminalGas,4266.67058823529,750500.0,260.0,0,0.0,0.85,n/a
sanAntonio_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
sonora_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
texarkana_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
texasCity_converter_compression,3078.94736842105,1000000.0,0.0,0,850.0,0.95,n/a
texasCity_converter_purification,3078.94736842105,480000.0,0.0,0,1800.0,0.95,n/a
texasCity_converter_terminalGas,3441.17647058824,750500.0,260.0,0,0.0,0.85,n/a
vanHorn_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
waco_converter_fuelDispenserGas,833.333333333333,0.0,1575.0,0,1970.0,0.6,0.0
