hub,status
brazoria,0
freeport,-1
chocolateBay,-1
texasCity,-1
laPorte,-1
sanJacinto,-1
deerPark,-1
pasadena,-1
channelview,-1
montBelvieu,-1
baytown,-1
portArthur,-1
medicalCenter,-1
beaumont,0
orange,-1
elPaso,0
vanHorn,0
sonora,0
midland,0
abilene,0
texarkana,0
waco,0
centerville,0
corpusChristi,0
mcallen,0
laredo,0
houston,1
sanAntonio,1
austin,1
dallas,1
amarillo,0
brownsville,0
collegeStation,0
fortWorth,0
killeen,0
leagueCity,0
lubbock,0
odessa,0
pearland,0
sanAngelo,0
sugarLand,0
theWoodlands,-1
tyler,0
wichitaFalls,0
