startHub,endHub,road_geometry
montBelvieu,deerPark,"LINESTRING (-94.89192 29.850306999999994, -94.890994 29.84791900000001, -94.895436 29.847546999999995, -94.89492 29.83619399999999, -94.904625 29.80062700000002, -94.91052700000002 29.79027200000003, -94.913999 29.773832000000006, -94.92623 29.759884999999997, -94.930833 29.757458999999997, -94.956402 29.751614999999987, -94.97988800000002 29.75000999999999, -94.985 29.748066000000005, -94.994482 29.735076999999993, -94.99146 29.725550000000013, -94.99337100000001 29.721162, -94.998983 29.715307000000003, -95.012107 29.70752400000002, -95.026718 29.695766000000006, -95.032601 29.688522000000006, -95.04058700000002 29.68858399999999, -95.084635 29.702027000000005, -95.090918 29.704289000000017, -95.092318 29.706489, -95.093595 29.700484999999993, -95.100627 29.700387000000013, -95.098987 29.697444999999995, -95.098789 29.689980999999992, -95.11678 29.689660000000007)"
waco,arlington,"LINESTRING (-97.149504 31.571826, -97.137371 31.561359999999965, -97.10913 31.584787000000013, -97.095542 31.628274999999984, -97.102669 31.791805, -97.081265 31.877232999999997, -97.119237 31.967372000000005, -97.095697 32.00415200000002, -97.09333 32.05559399999999, -97.208671 32.38939900000002, -97.308421 32.524251000000014, -97.318899 32.55301, -97.321147 32.66134600000001, -97.307864 32.66959200000001, -97.249523 32.66138300000003, -97.18793 32.675987, -97.134609 32.673865, -97.115945 32.70832, -97.105561 32.71094500000002, -97.107721 32.73556200000002)"
vanHorn,midland,"LINESTRING (-104.830842 31.04194099999997, -104.739074 31.042578, -104.41399 31.073448999999993, -104.158797 31.060480000000005, -104.10063500000001 31.084032, -104.060173 31.085098000000013, -104.024878 31.130788999999993, -103.990444 31.148524000000013, -103.854142 31.26924600000001, -103.741872 31.339578999999993, -103.55618000000001 31.406314, -103.4978 31.395753000000006, -103.39817100000002 31.419484000000033, -103.331085 31.47412100000001, -102.944796 31.575131999999996, -102.87652 31.57925, -102.84411 31.607069999999997, -102.79922400000001 31.620162000000004, -102.609902 31.730677000000018, -102.514231 31.768555000000006, -102.425407 31.81680499999999, -102.401617 31.81416400000002, -102.343584 31.83098699999999, -102.26455700000001 31.886003999999996, -102.119642 31.96085000000001, -102.073768 31.971726000000032, -102.074444 32.00002)"
fortWorth,waco,"LINESTRING (-97.330841 32.75095899999998, -97.31991600000002 32.74514899999999, -97.318698 32.55124600000002, -97.301309 32.51113299999999, -97.208734 32.389026999999984, -97.093481 32.05563199999999, -97.09593600000001 32.00421, -97.119466 31.967472999999984, -97.081434 31.877400999999985, -97.102822 31.792002999999994, -97.095747 31.628149, -97.11042 31.584386999999975, -97.136629 31.562337, -97.149504 31.571826)"
centerville,tyler,"LINESTRING (-95.97831 31.25797399999998, -95.987495 31.259679999999985, -96.020977 31.378471999999995, -96.075187 31.452064000000004, -95.94507000000002 31.540907999999988, -95.846569 31.586297999999992, -95.806418 31.64326700000001, -95.763961 31.654358999999992, -95.714399 31.707571, -95.660892 31.739302, -95.644958 31.767636000000014, -95.62964 31.771231000000014, -95.579488 31.86101400000001, -95.547005 31.898280999999997, -95.522276 32.02797600000002, -95.506322 32.04849499999999, -95.47942 32.139770999999996, -95.45806 32.154266, -95.408141 32.23375500000001, -95.313059 32.32806999999999, -95.310309 32.346683, -95.294324 32.347629999999995)"
frisco,texarkana,"LINESTRING (-96.834661 33.150489000000015, -96.838561 33.191937, -96.81247 33.218790999999996, -96.623787 33.21599500000001, -96.511747 33.175218999999984, -96.256954 33.149702000000005, -96.23008 33.138466, -96.14036 33.14036900000001, -96.141287 33.127393999999995, -96.096024 33.114225000000005, -96.070793 33.135773, -95.788571 33.131430999999985, -95.720524 33.11927300000002, -95.593847 33.116345, -95.56148 33.14457499999999, -95.452625 33.14745800000001, -95.39001 33.16612300000001, -95.037231 33.158178, -94.915918 33.19985699999999, -94.88304 33.230743999999994, -94.785791 33.28710799999998, -94.711065 33.29929, -94.626128 33.37153800000001, -94.525085 33.43970699999998, -94.445407 33.475543999999985, -94.337071 33.468202000000026, -94.26604300000001 33.47627900000001, -94.099471 33.451521, -94.097467 33.44340999999999, -94.053845 33.43506500000001, -94.048266 33.425574)"
irving,grandPrairie,"LINESTRING (-96.95534 32.813521, -96.956906 32.813603999999984, -96.956773 32.814928, -96.959969 32.81499200000001, -96.960065 32.80870300000001, -96.95946 32.807257, -96.95919600000002 32.801249000000006, -96.960258 32.77839200000002, -96.96019 32.76271099999999, -96.974741 32.759651999999996, -96.994958 32.759125000000004, -96.994653 32.74877400000001, -97.004453 32.74987899999999, -97.006582 32.74894599999999, -97.00678 32.74772500000001)"
richardson,allen,"LINESTRING (-96.73297 32.960736999999995, -96.727234 32.96069200000001, -96.722217 32.965144000000016, -96.711015 32.986202, -96.707684 33.007033999999976, -96.709806 33.022499999999994, -96.709204 33.02793, -96.69241 33.06021199999999, -96.684205 33.08056100000002, -96.677965 33.100454, -96.677258 33.10179200000001, -96.674503 33.10162000000002)"
plano,allen,"LINESTRING (-96.69925000000002 33.02078999999998, -96.699236 33.019677, -96.697595 33.019701, -96.697697 33.021266999999995, -96.699156 33.02291599999999, -96.69906 33.031471, -96.702149 33.03138499999997, -96.704298 33.03010499999996, -96.707403 33.031208, -96.69241 33.06021199999999, -96.684205 33.08056100000002, -96.677965 33.100454, -96.677258 33.10179200000001, -96.674626 33.10179000000001, -96.674626 33.101095000000015, -96.674503 33.10162000000002)"
mesquiteCity,waco,"LINESTRING (-96.591979 32.764117, -96.635781 32.687957999999995, -96.823816 32.641412999999986, -96.822328 32.50039499999999, -96.872502 32.41213299999999, -96.85464 32.34847599999999, -96.876882 32.24207599999999, -96.91059000000001 32.174405000000014, -96.93746 32.14516999999997, -97.09452 32.053460000000015, -97.09593600000001 32.00421, -97.119466 31.967472999999984, -97.081434 31.877400999999985, -97.102822 31.792002999999994, -97.095747 31.628149, -97.11042 31.584386999999975, -97.136629 31.562337, -97.149504 31.571826)"
odessa,sanAngelo,"LINESTRING (-102.37520100000002 31.849165999999993, -102.35519500000001 31.827763000000015, -102.344116 31.830760999999992, -102.304 31.865189999999984, -102.120753 31.960321, -102.03744 31.982312999999976, -101.62028400000001 31.863908999999996, -101.473314 31.865421, -101.376379 31.847535000000008, -101.306039 31.807079999999985, -101.267785 31.801197000000027, -101.220018 31.80491299999998, -101.150802 31.84878500000002, -101.108077 31.857353999999997, -101.039982 31.855608000000004, -101.01781400000002 31.840599, -100.966455 31.834756999999986, -100.924645 31.796411000000003, -100.84169 31.76344099999999, -100.761521 31.684400000000032, -100.714134 31.66789799999998, -100.625439 31.593912999999997, -100.56858700000001 31.566566000000005, -100.501371 31.548145, -100.477967 31.498011000000005, -100.442561 31.46183)"
channelview,deerPark,"LINESTRING (-95.11203400000001 29.77785700000001, -95.114206 29.776708000000017, -95.124367 29.776975000000004, -95.124397 29.77848600000001, -95.149442 29.772368999999998, -95.151136 29.771411, -95.15176 29.769763000000005, -95.151248 29.768266000000025, -95.148095 29.76469499999998, -95.146302 29.759683000000006, -95.145755 29.739862999999993, -95.147954 29.721619000000018, -95.15371200000001 29.714051000000005, -95.153858 29.701704000000017, -95.138289 29.70070699999997, -95.131602 29.700822999999996, -95.127827 29.699802999999996, -95.123806 29.699880000000018, -95.123574 29.689536000000015, -95.11678 29.689660000000007)"
denton,carrolton,"LINESTRING (-97.13153 33.21658500000003, -97.128231 33.21644400000001, -97.128248 33.21345400000001, -97.131823 33.20579500000001, -97.103631 33.182987999999995, -97.065789 33.15696300000001, -97.038444 33.12853699999998, -97.028176 33.11133300000001, -97.026883 33.08238600000001, -97.015003 33.06439700000002, -97.008229 33.04479600000001, -96.990516 33.027505999999995, -96.977178 33.01012899999999, -96.930962 32.98274500000001, -96.890491 32.98486600000001, -96.89023000000002 32.97557099999998)"
abilene,arlington,"LINESTRING (-99.74142 32.44917499999999, -99.682526 32.445906999999984, -99.677418 32.460511999999994, -99.627467 32.43606700000002, -99.2143 32.37015399999999, -99.144135 32.379711, -98.834201 32.375488000000004, -98.643312 32.45866500000001, -98.621867 32.47563300000001, -98.532953 32.497779, -98.372783 32.513229, -98.228545 32.568517000000014, -98.17028000000002 32.57318299999998, -98.076005 32.628028000000015, -97.997589 32.687757, -97.885123 32.726198999999994, -97.798233 32.72715699999999, -97.700405 32.755053, -97.567331 32.720897999999984, -97.52183 32.72076500000001, -97.480344 32.73815800000003, -97.3652 32.732691, -97.237966 32.760568, -97.114926 32.75938900000003, -97.107721 32.73556200000002)"
medicalCenter,pearland,"LINESTRING (-95.393166 29.71178300000001, -95.390263 29.70587500000001, -95.385853 29.706096999999996, -95.37548 29.700599999999984, -95.38136 29.68011100000001, -95.382262 29.670023, -95.38743 29.657085999999996, -95.38717 29.596879999999995, -95.35668 29.598195999999994, -95.345977 29.600068999999998, -95.286829 29.59971200000002, -95.286107 29.563691000000002, -95.280329 29.56339999999999, -95.255329 29.552387)"
