consumer,cons_carbonSensitive,cons_h,cons_checs,cons_price,cons_size
austin_demandSector_transportationFuel_carbonSensitive,1,354.0,354.0,5000.0,354.0
dallas_demandSector_transportationFuel_carbonSensitive,1,589.0,589.0,5000.0,589.0
freeport_demandSector_existing,0,538.0,0.0,5000.0,538.0
houston_demandSector_transportationFuel_carbonSensitive,1,359.0,359.0,5000.0,359.0
waco_demandSector_transportationFuel_carbonSensitive,1,21.0,21.0,5000.0,21.0
austin_priceFuelStation_2.10,0,1e-05,0.0,2100.0,1e-05
dallas_priceFuelStation_2.10,0,1e-05,0.0,2100.0,1e-05
houston_priceFuelStation_2.20,0,1e-05,0.0,2200.0,1e-05
waco_priceFuelStation_2.10,0,1e-05,0.0,2100.0,1e-05
freeport_priceLowPurity_1.00,0,1e-05,0.0,1000.0,1e-05
