arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
austin_converter_fuelDispenserPipeline,austin_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,354.00158
austin_demand_fuelStation,austin_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,354.0
austin_dist_pipelineHighPurity,austin_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,354.00158
dallas_converter_fuelDispenserPipeline,dallas_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,589.00158
dallas_demand_fuelStation,dallas_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,589.0
dallas_dist_pipelineHighPurity,dallas_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,589.00158
freeport_center_highPurity,freeport_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,463.2033599999954
freeport_center_lowPurity,freeport_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
freeport_demand_lowPurity,freeport_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
freeport_dist_pipelineHighPurity,freeport_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,104.20179999999544
freeport_dist_pipelineHighPurity,houston_dist_pipelineHighPurity,1.0,101225012.41677822,14898.07848886528,9.91198,999999.0,359.00156
freeport_dist_pipelineLowPurity,freeport_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,433.8
freeport_production_electrolyzer-RE,freeport_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,463.2033599999954
freeport_production_smr-noCCSExisting,freeport_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
houston_converter_fuelDispenserPipeline,houston_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,359.00156
houston_demand_fuelStation,houston_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,359.0
houston_dist_pipelineHighPurity,houston_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,359.00156
waco_center_highPurity,waco_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,964.00474
waco_converter_fuelDispenserPipeline,waco_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,21.00158
waco_demand_fuelStation,waco_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,21.0
waco_dist_pipelineHighPurity,austin_dist_pipelineHighPurity,1.0,168813196.025963,24845.5612333828,16.35097,999999.0,354.00158
waco_dist_pipelineHighPurity,dallas_dist_pipelineHighPurity,1.0,157976609.9940757,23250.655928855133,15.21352,999999.0,589.00158
waco_dist_pipelineHighPurity,waco_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,21.00158
waco_production_electrolyzer-RE,waco_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,964.00474
