import time: self [us] | cumulative | imported package
import time:       444 |        444 |   _io
import time:        72 |         72 |   marshal
import time:       318 |        318 |   nt
import time:       130 |        130 |   winreg
import time:      1035 |       1997 | _frozen_importlib_external
import time:       148 |        148 |   time
import time:       469 |        617 | zipimport
import time:       130 |        130 |     _codecs
import time:      1436 |       1565 |   codecs
import time:      1704 |       1704 |   encodings.aliases
import time:      3498 |       6766 | encodings
import time:       987 |        987 | encodings.utf_8
import time:      1195 |       1195 | encodings.cp1252
import time:       137 |        137 | _signal
import time:      1617 |       1617 | encodings.latin_1
import time:       123 |        123 |     _abc
import time:      1471 |       1593 |   abc
import time:      1436 |       3028 | io
import time:       332 |        332 |       _stat
import time:      1146 |       1477 |     stat
import time:      2105 |       2105 |     _collections_abc
import time:       698 |        698 |       genericpath
import time:      1111 |       1809 |     ntpath
import time:      1708 |       7097 |   os
import time:       719 |        719 |   _sitebuiltins
import time:       107 |        107 |     _locale
import time:       728 |        835 |   _bootlocale
import time:      2758 |       2758 |   _distutils_hack
import time:      1269 |       1269 |   types
import time:      1167 |       1167 |       warnings
import time:      1383 |       2550 |     importlib
import time:       708 |        708 |       importlib.machinery
import time:      1154 |       1862 |     importlib.abc
import time:       135 |        135 |           _operator
import time:      1112 |       1246 |         operator
import time:      1031 |       1031 |         keyword
import time:        95 |         95 |           _heapq
import time:      1007 |       1102 |         heapq
import time:      1089 |       1089 |         itertools
import time:       987 |        987 |         reprlib
import time:       144 |        144 |         _collections
import time:      1605 |       7201 |       collections
import time:        75 |         75 |         _functools
import time:      1257 |       1331 |       functools
import time:      1293 |       9825 |     contextlib
import time:      1125 |      15359 |   importlib.util
import time:      1294 |       1294 |     pywin32_system32
import time:     10088 |      11381 |   pywin32_bootstrap
import time:       843 |        843 |   sitecustomize
import time:       834 |        834 |   usercustomize
import time:      6637 |      47728 | site
import time:      1513 |       1513 |       enum
import time:        97 |         97 |         _sre
import time:      1100 |       1100 |           sre_constants
import time:      1205 |       2304 |         sre_parse
import time:      1057 |       3457 |       sre_compile
import time:      1024 |       1024 |       copyreg
import time:      1248 |       7241 |     re
import time:        72 |         72 |       _json
import time:       970 |       1042 |     json.scanner
import time:       981 |       9262 |   json.decoder
import time:       878 |        878 |   json.encoder
import time:      3376 |      13516 | json
import time:       985 |        985 |     posixpath
import time:       848 |       1832 |   fnmatch
import time:       108 |        108 |   errno
import time:       882 |        882 |     urllib
import time:      1490 |       2372 |   urllib.parse
import time:      1637 |       5948 | pathlib
import time:      4507 |       4507 |   HOwDI
import time:       982 |        982 |                 token
import time:      1757 |       2739 |               tokenize
import time:       887 |       3625 |             linecache
import time:      1116 |       4741 |           traceback
import time:       970 |        970 |             _weakrefset
import time:      1195 |       2165 |           weakref
import time:       752 |        752 |           collections.abc
import time:        55 |         55 |             _string
import time:      1520 |       1575 |           string
import time:      1323 |       1323 |           threading
import time:        52 |         52 |           atexit
import time:      2815 |      13419 |         logging
import time:      2036 |       2036 |         textwrap
import time:       783 |        783 |             pyomo.version.info
import time:       730 |       1512 |           pyomo.version
import time:        25 |       1537 |         pyomo.version.info
import time:        54 |         54 |                 _opcode
import time:       957 |       1011 |               opcode
import time:      1228 |       2238 |             dis
import time:      2348 |       4586 |           inspect
import time:       735 |        735 |           pyomo.common.errors
import time:       780 |       6100 |         pyomo.common.deprecation
import time:      3981 |       3981 |               _ctypes
import time:        79 |         79 |                 _struct
import time:       941 |       1020 |               struct
import time:       784 |        784 |               ctypes._endian
import time:      2283 |       8066 |             ctypes
import time:        93 |         93 |               zlib
import time:       951 |        951 |                 _compression
import time:      1643 |       1643 |                 _bz2
import time:       981 |       3574 |               bz2
import time:      2463 |       2463 |                 _lzma
import time:      1394 |       3857 |               lzma
import time:      1095 |       1095 |               pwd
import time:      1042 |       1042 |               grp
import time:      1416 |      11074 |             shutil
import time:      1199 |       1199 |               signal
import time:        62 |         62 |               msvcrt
import time:        84 |         84 |               _winapi
import time:      1234 |       2577 |             subprocess
import time:       663 |      22379 |           ctypes.util
import time:      1020 |       1020 |           glob
import time:      2840 |       2840 |           platform
import time:      2269 |       2269 |               _socket
import time:        77 |         77 |                 math
import time:       828 |        828 |                 select
import time:      1231 |       2135 |               selectors
import time:      1971 |       6374 |             socket
import time:     21849 |      28223 |           pyomo.common.envvar
import time:      1354 |      55812 |         pyomo.common.fileutils
import time:      2068 |      80971 |       pyomo.common.log
import time:      1501 |       1501 |       pyomo.common.factory
import time:      2231 |       2231 |             locale
import time:      2932 |       5162 |           gettext
import time:      4860 |      10022 |         argparse
import time:      1349 |       1349 |           _compat_pickle
import time:       184 |        184 |           _pickle
import time:      2687 |       2687 |               org
import time:        36 |       2722 |             org.python
import time:        28 |       2750 |           org.python.core
import time:      2176 |       6456 |         pickle
import time:      1291 |       1291 |           ply
import time:      1146 |       1146 |                 org
import time:        27 |       1173 |               org.python
import time:        28 |       1200 |             org.python.core
import time:      1062 |       2261 |           copy
import time:      1295 |       4846 |         ply.lex
import time:       971 |        971 |           pyomo.common.collections.orderedset
import time:       737 |        737 |           pyomo.common.collections.component_map
import time:       698 |        698 |           pyomo.common.collections.component_set
import time:      1010 |       1010 |             shlex
import time:       620 |       1630 |           pyomo.common.collections.bunch
import time:      1017 |       5052 |         pyomo.common.collections
import time:        55 |         55 |               _bisect
import time:       818 |        873 |             bisect
import time:        47 |         47 |             _sha512
import time:        40 |         40 |             _random
import time:      1078 |       2036 |           random
import time:       674 |       2710 |         pyomo.common.modeling
import time:      2749 |      31832 |       pyomo.common.config
import time:       533 |        533 |         pyomo.common.numeric_types
import time:      1013 |       1013 |         cPickle
import time:       989 |       2535 |       pyomo.common.dependencies
import time:       875 |        875 |       pyomo.common.timing
import time:       538 |        538 |       pyomo.common._command
import time:      1081 |     119331 |     pyomo.common
import time:      1100 |     120430 |   pyomo
import time:       594 |        594 |     pyomo.common.download
import time:       460 |        460 |     pyomo.common.getGSL
import time:       591 |        591 |           pyomo.core.expr.expr_common
import time:       599 |        599 |           pyomo.core.pyomoobject
import time:       580 |        580 |           pyomo.core.expr.expr_errors
import time:       987 |        987 |           numpy._globals
import time:       588 |        588 |           numpy.__config__
import time:       538 |        538 |           numpy._distributor_init
import time:       860 |        860 |               __future__
import time:       471 |        471 |               numpy._version
import time:       558 |       1888 |             numpy.version
import time:       829 |        829 |                     _datetime
import time:      1552 |       2381 |                   datetime
import time:      4545 |       6926 |                 numpy.core._multiarray_umath
import time:       798 |        798 |                     numpy.compat._inspect
import time:      2665 |       2665 |                     numpy.compat._pep440
import time:      1011 |       1011 |                       pickle5
import time:       565 |       1575 |                     numpy.compat.py3k
import time:       883 |       5920 |                   numpy.compat
import time:        31 |       5951 |                 numpy.compat._inspect
import time:       690 |      13566 |               numpy.core.overrides
import time:      1111 |      14676 |             numpy.core.multiarray
import time:       590 |        590 |             numpy.core.umath
import time:      1052 |       1052 |               numbers
import time:       582 |        582 |               numpy.core._string_helpers
import time:       653 |        653 |                 numpy.core._dtype
import time:       823 |       1476 |               numpy.core._type_aliases
import time:       889 |       3997 |             numpy.core.numerictypes
import time:       634 |        634 |                     numpy.core._exceptions
import time:       572 |       1206 |                   numpy.core._methods
import time:      1332 |       2537 |                 numpy.core.fromnumeric
import time:      1180 |       3716 |               numpy.core.shape_base
import time:       614 |        614 |               numpy.core._ufunc_config
import time:       961 |        961 |               numpy.core.arrayprint
import time:       566 |        566 |               numpy.core._asarray
import time:      1422 |       7278 |             numpy.core.numeric
import time:      1330 |       1330 |             numpy.core.defchararray
import time:       677 |        677 |             numpy.core.records
import time:       635 |        635 |             numpy.core.memmap
import time:       577 |        577 |             numpy.core.function_base
import time:       583 |        583 |             numpy.core._machar
import time:      1114 |       1114 |             numpy.core.getlimits
import time:       601 |        601 |             numpy.core.einsumfunc
import time:      1327 |       1327 |               numpy.core._multiarray_tests
import time:      1672 |       2999 |             numpy.core._add_newdocs
import time:       907 |        907 |             numpy.core._add_newdocs_scalars
import time:       566 |        566 |             numpy.core._dtype_ctypes
import time:      1040 |       1040 |                 _ast
import time:      1086 |       2126 |               ast
import time:      1349 |       3474 |             numpy.core._internal
import time:       814 |        814 |             numpy._pytesttester
import time:      1293 |      43992 |           numpy.core
import time:       848 |        848 |             numpy.lib.mixins
import time:       562 |        562 |                 numpy.lib.ufunclike
import time:       821 |       1382 |               numpy.lib.type_check
import time:       769 |       2151 |             numpy.lib.scimath
import time:       603 |        603 |                         numpy.lib.stride_tricks
import time:       863 |       1466 |                       numpy.lib.twodim_base
import time:      2953 |       2953 |                       numpy.linalg._umath_linalg
import time:      1246 |       5663 |                     numpy.linalg.linalg
import time:       606 |       6269 |                   numpy.linalg
import time:       854 |       7123 |                 numpy.matrixlib.defmatrix
import time:       624 |       7747 |               numpy.matrixlib
import time:       755 |        755 |                 numpy.lib.histograms
import time:      1689 |       2444 |               numpy.lib.function_base
import time:       869 |      11059 |             numpy.lib.index_tricks
import time:      1306 |       1306 |             numpy.lib.nanfunctions
import time:      1145 |       1145 |             numpy.lib.shape_base
import time:      1090 |       1090 |             numpy.lib.polynomial
import time:      1136 |       1136 |             numpy.lib.utils
import time:       867 |        867 |             numpy.lib.arraysetops
import time:       585 |        585 |               numpy.lib.format
import time:       605 |        605 |               numpy.lib._datasource
import time:       782 |        782 |               numpy.lib._iotools
import time:      1035 |       3005 |             numpy.lib.npyio
import time:       518 |        518 |             numpy.lib.arrayterator
import time:       575 |        575 |             numpy.lib.arraypad
import time:       494 |        494 |             numpy.lib._version
import time:      1053 |      25240 |           numpy.lib
import time:      1128 |       1128 |               numpy.fft._pocketfft_internal
import time:       919 |       2047 |             numpy.fft._pocketfft
import time:       560 |        560 |             numpy.fft.helper
import time:       637 |       3243 |           numpy.fft
import time:       652 |        652 |               numpy.polynomial.polyutils
