,convertor,conv_capacity,conv_cost_capital_coeff,conv_cost_fixed,conv_cost_variable,conv_kwh_variable_coeff,conv_utilization,fuelStation_cost_capital_subsidy
0,'abilene_converter_compression',0.0,1000000,0,0,850,0.95,
1,'abilene_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
2,'abilene_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
3,'abilene_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
4,'abilene_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
5,'abilene_converter_purification',0.0,480000,0,0,1800,0.95,
6,'abilene_converter_terminalGas',0.0,750500,260,0,0,0.85,
7,'abilene_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
8,'austin_converter_compression',0.0,1000000,0,0,850,0.95,
9,'austin_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
10,'austin_converter_fuelDispenserLiquid',100.5,5525000,1500,0,560,0.6,55526250.0
11,'austin_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
12,'austin_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
13,'austin_converter_purification',0.0,480000,0,0,1800,0.95,
14,'austin_converter_terminalGas',0.0,750500,260,0,0,0.85,
15,'austin_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
16,'baytown_converter_compression',-0.0,1000000,0,0,850,0.95,
17,'baytown_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
18,'baytown_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
19,'baytown_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
20,'baytown_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
21,'baytown_converter_purification',-0.0,480000,0,0,1800,0.95,
22,'baytown_converter_terminalGas',-0.0,750500,260,0,0,0.85,
23,'baytown_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
24,'beaumont_converter_compression',-0.0,1000000,0,0,850,0.95,
25,'beaumont_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
26,'beaumont_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
27,'beaumont_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
28,'beaumont_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
29,'beaumont_converter_purification',-0.0,480000,0,0,1800,0.95,
30,'beaumont_converter_terminalGas',-0.0,750500,260,0,0,0.85,
31,'beaumont_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
32,'brazoria_converter_compression',-0.0,1000000,0,0,850,0.95,
33,'brazoria_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
34,'brazoria_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
35,'brazoria_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
36,'brazoria_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
37,'brazoria_converter_purification',-0.0,480000,0,0,1800,0.95,
38,'brazoria_converter_terminalGas',-0.0,750500,260,0,0,0.85,
39,'brazoria_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
40,'centerville_converter_compression',0.0,1000000,0,0,850,0.95,
41,'centerville_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
42,'centerville_converter_fuelDispenserLiquid',33.3333333333333,5525000,1500,0,560,0.6,18416666.6666667
43,'centerville_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
44,'centerville_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
45,'centerville_converter_purification',0.0,480000,0,0,1800,0.95,
46,'centerville_converter_terminalGas',0.0,750500,260,0,0,0.85,
47,'centerville_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
48,'channelview_converter_compression',-0.0,1000000,0,0,850,0.95,
49,'channelview_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
50,'channelview_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
51,'channelview_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
52,'channelview_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
53,'channelview_converter_purification',-0.0,480000,0,0,1800,0.95,
54,'channelview_converter_terminalGas',-0.0,750500,260,0,0,0.85,
55,'channelview_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
56,'chocolateBay_converter_compression',-0.0,1000000,0,0,850,0.95,
57,'chocolateBay_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
58,'chocolateBay_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
59,'chocolateBay_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
60,'chocolateBay_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
61,'chocolateBay_converter_purification',-0.0,480000,0,0,1800,0.95,
62,'chocolateBay_converter_terminalGas',-0.0,750500,260,0,0,0.85,
63,'chocolateBay_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
64,'corpusChristi_converter_compression',0.0,1000000,0,0,850,0.95,
65,'corpusChristi_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
66,'corpusChristi_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
67,'corpusChristi_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
68,'corpusChristi_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
69,'corpusChristi_converter_purification',0.0,480000,0,0,1800,0.95,
70,'corpusChristi_converter_terminalGas',0.0,750500,260,0,0,0.85,
71,'corpusChristi_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
72,'dallas_converter_compression',0.0,1000000,0,0,850,0.95,
73,'dallas_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
74,'dallas_converter_fuelDispenserLiquid',183.333333333333,5525000,1500,0,560,0.6,101291666.666667
75,'dallas_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
76,'dallas_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
77,'dallas_converter_purification',0.0,480000,0,0,1800,0.95,
78,'dallas_converter_terminalGas',0.0,750500,260,0,0,0.85,
79,'dallas_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
80,'deerPark_converter_compression',-0.0,1000000,0,0,850,0.95,
81,'deerPark_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
82,'deerPark_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
83,'deerPark_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
84,'deerPark_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
85,'deerPark_converter_purification',-0.0,480000,0,0,1800,0.95,
86,'deerPark_converter_terminalGas',-0.0,750500,260,0,0,0.85,
87,'deerPark_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
88,'elPaso_converter_compression',0.0,1000000,0,0,850,0.95,
89,'elPaso_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
90,'elPaso_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
91,'elPaso_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
92,'elPaso_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
93,'elPaso_converter_purification',0.0,480000,0,0,1800,0.95,
94,'elPaso_converter_terminalGas',0.0,750500,260,0,0,0.85,
95,'elPaso_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
96,'freeport_converter_compression',-0.0,1000000,0,0,850,0.95,
97,'freeport_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
98,'freeport_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
99,'freeport_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
100,'freeport_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
101,'freeport_converter_purification',-0.0,480000,0,0,1800,0.95,
102,'freeport_converter_terminalGas',-0.0,750500,260,0,0,0.85,
103,'freeport_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
104,'houston_converter_compression',0.0,1000000,0,0,850,0.95,
105,'houston_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
106,'houston_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
107,'houston_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
108,'houston_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
109,'houston_converter_purification',0.0,480000,0,0,1800,0.95,
110,'houston_converter_terminalGas',0.0,750500,260,0,0,0.85,
111,'houston_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
112,'laPorte_converter_compression',-0.0,1000000,0,0,850,0.95,
113,'laPorte_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
114,'laPorte_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
115,'laPorte_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
116,'laPorte_converter_liquefaction',411.21052631579,1920000,0,0,7200,0.95,
117,'laPorte_converter_purification',411.21052631579,480000,0,0,1800,0.95,
118,'laPorte_converter_terminalGas',-0.0,750500,260,0,0,0.85,
119,'laPorte_converter_terminalLiquid',459.588235294118,1175000,290,0,0,0.85,
120,'laredo_converter_compression',0.0,1000000,0,0,850,0.95,
121,'laredo_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
122,'laredo_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
123,'laredo_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
124,'laredo_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
125,'laredo_converter_purification',0.0,480000,0,0,1800,0.95,
126,'laredo_converter_terminalGas',0.0,750500,260,0,0,0.85,
127,'laredo_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
128,'mcallen_converter_compression',0.0,1000000,0,0,850,0.95,
129,'mcallen_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
130,'mcallen_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
131,'mcallen_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
