,source,destination,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
0,abilene_converter_compression,abilene_converter_terminalGas,,,,,,0.0
1,abilene_converter_fuelDispenserGas,abilene_demand_fuelStation,0.0,,,,99999999.9,0.0
2,abilene_converter_fuelDispenserLiquid,abilene_demand_fuelStation,0.0,,,,99999999.9,0.0
3,abilene_converter_fuelDispenserPipeline,abilene_demand_fuelStation,0.0,,,,99999999.9,0.0
4,abilene_converter_liquefaction,abilene_converter_terminalLiquid,,,,,,0.0
5,abilene_converter_purification,abilene_hub_highPurity,0.0,,,,99999999.9,0.0
6,abilene_converter_terminalGas,abilene_dist_truckCompressed,0.0,381000.0,52.19,,2.6,0.0
7,abilene_converter_terminalLiquid,abilene_dist_truckLiquefied,0.0,1016000.0,139.18,,8.0,0.0
8,abilene_dist_pipelineHighPurity,abilene_converter_fuelDispenserPipeline,,,,,,0.0
9,abilene_dist_pipelineHighPurity,abilene_demand_highPurity,0.0,,,,99999999.9,0.0
10,abilene_dist_pipelineHighPurity,abilene_demand_lowPurity,0.0,,,,99999999.9,0.0
11,abilene_dist_pipelineHighPurity,dallas_dist_pipelineHighPurity,0.0,336000000.0,46032.0,28.0,999999.0,0.0
12,abilene_dist_pipelineHighPurity,midland_dist_pipelineHighPurity,0.0,288000000.0,39456.0,24.0,999999.0,0.0
13,abilene_dist_pipelineLowPurity,abilene_demand_lowPurity,0.0,,,,99999999.9,0.0
14,abilene_dist_pipelineLowPurity,dallas_dist_pipelineLowPurity,0.0,336000000.0,46032.0,28.0,999999.0,0.0
15,abilene_dist_pipelineLowPurity,midland_dist_pipelineLowPurity,0.0,288000000.0,39456.0,24.0,999999.0,0.0
16,abilene_dist_truckCompressed,abilene_converter_fuelDispenserGas,,,,,,0.0
17,abilene_dist_truckCompressed,abilene_demand_highPurity,0.0,,,,99999999.9,0.0
18,abilene_dist_truckCompressed,abilene_demand_lowPurity,0.0,,,,99999999.9,0.0
19,abilene_dist_truckCompressed,dallas_dist_truckCompressed,,,,2122.4,,0.0
20,abilene_dist_truckCompressed,midland_dist_truckCompressed,,,,1819.2,,0.0
21,abilene_dist_truckLiquefied,abilene_converter_fuelDispenserLiquid,,,,,,0.0
22,abilene_dist_truckLiquefied,abilene_demand_highPurity,0.0,,,,99999999.9,0.0
