startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
deerPark,pasadena,7.604767548503793,9.3004,1
laredo,sanAntonio,231.69154767041627,248.3341,0
centerville,waco,116.42732801316934,132.5895,0
austin,waco,155.001522855909,166.81470000000002,0
baytown,laPorte,8.862522485907965,11.1418,0
austin,sonora,280.137377936348,314.6797,0
channelview,medicalCenter,28.110915413861388,31.7961,0
baytown,montBelvieu,16.812602988895055,20.0458,1
chocolateBay,texasCity,31.37770608387654,41.3853,1
channelview,houston,24.926921485683412,26.7532,0
portArthur,orange,28.35716449075463,30.329099999999997,1
centerville,dallas,185.02179942102228,197.8247,0
texasCity,sanJacinto,17.44613596179554,27.4515,0
deerPark,medicalCenter,26.810802839675713,30.576400000000003,0
portArthur,beaumont,26.474868623370135,28.6259,1
houston,austin,235.3153790490185,261.129,0
deerPark,houston,25.647451827902184,31.687099999999997,0
laPorte,sanJacinto,45.843572823573595,55.6769,1
sanJacinto,deerPark,54.21916490376156,64.9083,1
sanAntonio,waco,270.26971761168824,292.72409999999996,0
sanAntonio,sonora,242.56709790161662,274.5905,0
elPaso,midland,417.5019028396985,492.2622,0
laPorte,deerPark,9.815778185416573,13.194600000000001,0
medicalCenter,houston,5.881522195313208,7.1269,0
houston,centerville,175.6123245608849,188.6267,0
mcallen,corpusChristi,194.29078020807313,250.2321,0
chocolateBay,sanJacinto,37.329211888628585,53.847199999999994,0
abilene,midland,225.03247082120697,237.3981,0
houston,texarkana,424.42047568724524,464.7073,0
baytown,channelview,12.424627783738389,17.9516,0
texarkana,dallas,265.83047018786226,286.4202,0
texasCity,laPorte,30.286581619132242,33.385400000000004,1
centerville,texarkana,300.7302317708663,345.2803,0
pasadena,channelview,12.5558792405799,17.3659,1
laPorte,montBelvieu,25.359748851575674,30.2047,0
sanJacinto,freeport,66.66499273012936,73.343,0
channelview,montBelvieu,22.703042934239342,25.5484,1
elPaso,sonora,571.2795569970334,614.0808000000001,0
waco,abilene,262.9601152265041,315.9488,0
sonora,vanHorn,403.23242479331117,420.9067,0
texasCity,freeport,63.75669881669772,77.1481,0
texarkana,beaumont,369.5952952594229,420.829,0
montBelvieu,portArthur,92.96445221536815,100.773,1
deerPark,montBelvieu,28.0587169439311,35.927099999999996,0
mcallen,sanAntonio,357.36411630113355,383.1346,0
abilene,sonora,225.1183615650493,249.9913,0
montBelvieu,beaumont,80.50560499631081,93.92869999999999,0
freeport,brazoria,23.836919969875616,28.2952,1
houston,brazoria,80.80250079782708,87.9759,0
midland,sonora,208.7993834255744,259.2516,0
sanJacinto,brazoria,80.31409251926824,94.70439999999999,0
chocolateBay,freeport,32.497260427097935,49.76,1
elPaso,vanHorn,176.10504575355236,194.9758,0
abilene,dallas,278.4050374449171,294.1266,0
texasCity,brazoria,72.46710029318749,89.0566,0
brazoria,corpusChristi,227.6078226035735,263.6696,0
pasadena,medicalCenter,19.235722927919618,21.4728,0
austin,abilene,307.0178507333047,355.9185,0
waco,dallas,137.61483171141504,152.6316,0
pasadena,houston,18.504189152778327,22.5835,0
laredo,corpusChristi,209.0875748210659,224.477,0
midland,vanHorn,281.9277691470812,298.1078,0
sanAntonio,corpusChristi,209.40895372163575,229.9547,0
waco,texarkana,355.96219241619224,396.4521,0
baytown,sanJacinto,52.12954449366494,65.5758,1
laPorte,channelview,16.246607904437795,28.0355,0
baytown,deerPark,12.409474956931005,17.122400000000003,0
chocolateBay,brazoria,42.99107266059849,54.6454,0
orange,beaumont,35.09493336300982,39.250699999999995,0
mcallen,laredo,193.7861454384415,235.7126,0
brazoria,austin,250.23263200640358,290.0647,0
austin,centerville,201.07087406608164,229.59539999999998,0
laPorte,pasadena,17.055172164647317,18.7097,0
deerPark,channelview,9.774558382818967,16.7739,1
sanAntonio,austin,118.13950333324297,127.7692,0
brazoria,sanAntonio,287.75224151850904,342.833,0
