consumer,cons_carbonSensitive,cons_h,cons_checs,cons_price,cons_size
abilene_demandSector_transportationFuel_carbonSensitive,1,18.9999999999986,18.9999999999986,4000.0,19.0
amarillo_demandSector_transportationFuel_carbonSensitive,1,30.999999999999662,30.999999999999662,4000.0,31.0
austin_demandSector_transportationFuel_carbonSensitive,1,353.9999999999995,353.9999999999995,4000.0,354.0
baytown_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
beaumont_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
brazoria_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
brownsville_demandSector_transportationFuel_carbonSensitive,1,27.999999999988233,27.999999999988233,4000.0,28.0
channelview_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
chocolateBay_demandSector_existing,0,538.0,0.0,5000.0,538.0
chocolateBay_demandSector_transportationFuel_carbonSensitive,1,19.99999999999961,19.99999999999961,4000.0,20.0
corpusChristi_demandSector_transportationFuel_carbonSensitive,1,50.999999999999574,50.999999999999574,4000.0,51.0
dallas_demandSector_transportationFuel_carbonSensitive,1,588.9999999999994,588.9999999999994,4000.0,589.0
deerPark_demandSector_existing,0,538.0,0.0,5000.0,538.0
elPaso_demandSector_transportationFuel_carbonSensitive,1,104.9999999999996,104.9999999999996,4000.0,105.0
fortWorth_demandSector_transportationFuel_carbonSensitive,1,588.9999999999995,588.9999999999995,4000.0,589.0
fortWorth_priceFuelStation_2.05,0,9.987090123907077e-06,0.0,2050.0,1e-05
freeport_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
houston_demandSector_transportationFuel_carbonSensitive,1,358.9999999999995,358.9999999999995,4000.0,359.0
killeen_demandSector_transportationFuel_carbonSensitive,1,22.999999999999567,22.999999999999567,4000.0,23.0
laPorte_demandSector_existing,0,538.0,0.0,5000.0,538.0
laredo_demandSector_transportationFuel_carbonSensitive,1,39.999999999999574,39.999999999999574,4000.0,40.0
lubbock_demandSector_transportationFuel_carbonSensitive,1,39.99999999999965,39.99999999999965,4000.0,40.0
mcallen_demandSector_transportationFuel_carbonSensitive,1,21.99999999999391,21.99999999999391,4000.0,22.0
mcallen_priceFuelStation_3.90,0,9.965656628145376e-06,0.0,3900.0,1e-05
midland_demandSector_transportationFuel_carbonSensitive,1,21.999999999999677,21.999999999999677,4000.0,22.0
montBelvieu_demandSector_existing,0,538.0,0.0,5000.0,538.0
odessa_demandSector_transportationFuel_carbonSensitive,1,18.99999999999968,18.99999999999968,4000.0,19.0
orange_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
pasadena_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
pasadena_demandSector_transportationFuel_carbonSensitive,1,23.999999999999556,23.999999999999556,4000.0,24.0
pearland_demandSector_transportationFuel_carbonSensitive,1,19.999999999999567,19.999999999999567,4000.0,20.0
portArthur_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
sanAntonio_demandSector_transportationFuel_carbonSensitive,1,396.9999999999995,396.9999999999995,4000.0,397.0
sanJacinto_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
sugarLand_demandSector_transportationFuel_carbonSensitive,1,17.99999999999957,17.99999999999957,4000.0,18.0
texasCity_demandSector_existing,0,537.9999999999999,0.0,5000.0,538.0
waco_demandSector_transportationFuel_carbonSensitive,1,20.99999999999957,20.99999999999957,4000.0,21.0
pearland_priceFuelStation_2.05,0,9.999424588007126e-06,0.0,2050.0,1e-05
chocolateBay_priceFuelStation_2.05,0,9.999889804644334e-06,0.0,2050.0,1e-05
pasadena_priceFuelStation_2.05,0,9.999580809797281e-06,0.0,2050.0,1e-05
houston_priceFuelStation_2.05,0,9.99958674854794e-06,0.0,2050.0,1e-05
elPaso_priceFuelStation_1.85,0,9.999945871165287e-06,0.0,1850.0,1e-05
midland_priceFuelStation_1.70,0,9.999819959914686e-06,0.0,1700.0,1e-05
abilene_priceFuelStation_3.55,0,9.99377029970932e-06,0.0,3550.0,1e-05
waco_priceFuelStation_2.05,0,9.99905332061001e-06,0.0,2050.0,1e-05
corpusChristi_priceFuelStation_2.05,0,9.999682562070545e-06,0.0,2050.0,1e-05
mcallen_priceFuelStation_3.95,0,9.999954857874701e-06,0.0,3950.0,1e-05
laredo_priceFuelStation_2.10,0,9.999935775328425e-06,0.0,2100.0,1e-05
sanAntonio_priceFuelStation_2.10,0,9.999943421762194e-06,0.0,2100.0,1e-05
austin_priceFuelStation_2.05,0,9.999682611181171e-06,0.0,2050.0,1e-05
dallas_priceFuelStation_2.10,0,9.999947341775732e-06,0.0,2100.0,1e-05
amarillo_priceFuelStation_1.70,0,9.999204191532818e-06,0.0,1700.0,1e-05
brownsville_priceFuelStation_3.95,0,9.999947537047162e-06,0.0,3950.0,1e-05
fortWorth_priceFuelStation_2.10,0,9.999953578078786e-06,0.0,2100.0,1e-05
killeen_priceFuelStation_2.05,0,9.999866164468873e-06,0.0,2050.0,1e-05
lubbock_priceFuelStation_1.70,0,9.999934470249296e-06,0.0,1700.0,1e-05
odessa_priceFuelStation_1.70,0,9.999687173625447e-06,0.0,1700.0,1e-05
sugarLand_priceFuelStation_2.05,0,9.999121194978817e-06,0.0,2050.0,1e-05
brazoria_priceLowPurity_1.00,0,9.999996330977587e-06,0.0,1000.0,1e-05
freeport_priceLowPurity_1.00,0,9.999996329588726e-06,0.0,1000.0,1e-05
chocolateBay_priceLowPurity_1.00,0,9.99999631852845e-06,0.0,1000.0,1e-05
texasCity_priceLowPurity_1.00,0,9.999996354142325e-06,0.0,1000.0,1e-05
laPorte_priceLowPurity_1.00,0,9.999996350389656e-06,0.0,1000.0,1e-05
deerPark_priceLowPurity_1.00,0,9.999996346806203e-06,0.0,1000.0,1e-05
pasadena_priceLowPurity_1.00,0,9.999996274896455e-06,0.0,1000.0,1e-05
channelview_priceLowPurity_1.00,0,9.999996346663585e-06,0.0,1000.0,1e-05
baytown_priceLowPurity_1.00,0,9.99999634876877e-06,0.0,1000.0,1e-05
sanJacinto_priceLowPurity_1.00,0,9.999996344095086e-06,0.0,1000.0,1e-05
montBelvieu_priceLowPurity_1.00,0,9.999996330062132e-06,0.0,1000.0,1e-05
portArthur_priceLowPurity_1.00,0,9.999996265156347e-06,0.0,1000.0,1e-05
beaumont_priceLowPurity_1.00,0,9.999996266262228e-06,0.0,1000.0,1e-05
orange_priceLowPurity_1.00,0,9.999996252641632e-06,0.0,1000.0,1e-05
