convertor,conv_capacity,conv_cost_capital,conv_cost_fixed,conv_cost_variable,conv_e_price,conv_utilization,fuelStation_cost_capital_subsidy
abilene_converter_fuelDispenserLiquid,833.3333333333334,5156418.305025,1399.9325715,0,21.817495280000003,0.6,429701525.4187499
abilene_converter_liquefaction,526.3157894738456,1791913.69152,0.0,0,280.5106536,0.95,n/a
abilene_converter_terminalLiquid,588.2352941178275,1096613.847675,270.65363049,0,0.0,0.85,n/a
amarillo_converter_fuelDispenserLiquid,833.3333333333334,5232080.831900001,1420.474434,0,21.817495280000003,0.6,436006735.9916666
austin_converter_fuelDispenserLiquid,833.3334499999999,5094011.8996,1382.989656,0,24.24263856,0.6,424501051.063472
austin_converter_liquefaction,526.3158631615713,1770226.75968,0.0,0,311.6910672,0.95,n/a
austin_converter_terminalLiquid,588.2353764746974,1083341.8972,267.37800016,0,0.0,0.85,n/a
centerville_converter_fuelDispenserLiquid,833.3333333314829,5093431.0011,1382.831946,0,24.43392952,0.6,424452583.42405736
chocolateBay_converter_liquefaction,526.3157894736842,1753119.3216,0.0,0,299.9538288,0.95,n/a
chocolateBay_converter_terminalLiquid,588.2352941176471,1072872.5015,264.7940642,0,0.0,0.85,n/a
corpusChristi_converter_fuelDispenserLiquid,833.3333333333334,5047418.883975,1370.3399685,0,23.32974224,0.6,420618240.33124995
corpusChristi_converter_liquefaction,1052.6315789468044,1754035.15968,0.0,0,299.9538288,0.95,n/a
corpusChristi_converter_terminalLiquid,1176.4705882346639,1073432.975325,264.93239391,0,0.0,0.85,n/a
dallas_converter_fuelDispenserLiquid,833.3333333333334,5152978.84335,1398.998781,0,24.43392952,0.6,429414903.6124999
dallas_converter_liquefaction,1052.6315789449206,1790718.43968,0.0,0,314.1505224,0.95,n/a
dallas_converter_terminalLiquid,1176.4705882325584,1095882.37845,270.47309766,0,0.0,0.85,n/a
elPaso_converter_fuelDispenserLiquid,833.3333333333334,5366102.8343,1456.860498,0,21.817495280000003,0.6,447175236.19166666
elPaso_converter_liquefaction,526.3157894736842,1864781.43744,0.0,0,280.5106536,0.95,n/a
elPaso_converter_terminalLiquid,588.2352941176471,1141207.3901,281.65969628,0,0.0,0.85,n/a
houston_converter_fuelDispenserLiquid,833.3333333333334,5051780.318975,1371.5240685,0,25.89216616,0.6,420981693.2479166
houston_converter_liquefaction,526.3157894736842,1755550.80768,0.0,0,332.8992792,0.95,n/a
houston_converter_terminalLiquid,588.2352941176471,1074360.520325,265.16131991000003,0,0.0,0.85,n/a
leagueCity_converter_fuelDispenserLiquid,833.3333333333334,5047520.278775,1370.3674965,0,25.89216616,0.6,420626689.89791656
leagueCity_converter_liquefaction,526.3157894736842,1754070.39552,0.0,0,332.8992792,0.95,n/a
leagueCity_converter_terminalLiquid,588.2352941176471,1073454.538925,264.93771599,0,0.0,0.85,n/a
mcallen_converter_fuelDispenserLiquid,833.3333333324404,5034491.378475,1366.8302385,0,23.32974224,0.6,419540948.20580035
midland_converter_fuelDispenserLiquid,833.3333333333334,5194992.418525,1410.4051815,0,21.817495280000003,0.6,432916034.87708324
midland_converter_liquefaction,1578.9473684201907,1805318.6323199999,0.0,0,280.5106536,0.95,n/a
midland_converter_terminalLiquid,1764.705882351978,1104817.392175,272.67833508999996,0,0.0,0.85,n/a
montBelvieu_converter_liquefaction,522.1052631578947,1754922.11904,0.0,0,332.8992792,0.95,n/a
montBelvieu_converter_terminalLiquid,583.5294117647059,1073975.775975,265.06636173,0,0.0,0.85,n/a
orange_converter_fuelDispenserLiquid,833.3333333333334,5055088.490075001,1372.4222145,0,25.89216616,0.6,421257374.17291665
orange_converter_liquefaction,4.2105263157894735,1756700.4345600002,0.0,0,332.8992792,0.95,n/a
orange_converter_purification,4.2105263157894735,439175.10864000005,0.0,0,83.2248198,0.95,n/a
orange_converter_terminalLiquid,4.705882352941177,1075064.0680250002,265.33496147,0,0.0,0.85,n/a
pasadena_converter_fuelDispenserLiquid,83.3334666666667,5051780.318975,1371.5240685,0,25.89216616,0.6,42098236.68186259
pasadena_converter_liquefaction,52.63166315789476,1755550.80768,0.0,0,332.8992792,0.95,n/a
pasadena_converter_terminalLiquid,58.82362352941179,1074360.520325,265.16131991000003,0,0.0,0.85,n/a
sanAntonio_converter_fuelDispenserLiquid,833.3333333333334,5078811.37595,1378.862817,0,24.56183128,0.6,423234281.3291666
sonora_converter_fuelDispenserLiquid,833.3333333327816,5127532.2735,1392.09021,0,21.817495280000003,0.6,427294356.124717
texarkana_converter_fuelDispenserLiquid,833.33333333204,5149010.7994,1397.921484,0,24.43392952,0.6,429084233.2826672
vanHorn_converter_fuelDispenserLiquid,833.3333333333334,5277893.8667,1432.912362,0,21.817495280000003,0.6,439824488.8916666
vanHorn_converter_liquefaction,526.3157894736878,1834127.82336,0.0,0,280.5106536,0.95,n/a
vanHorn_converter_terminalLiquid,588.235294117651,1122448.0169,277.02972332,0,0.0,0.85,n/a
waco_converter_fuelDispenserLiquid,833.3333333333334,5119280.238475,1389.8498385,0,24.43392952,0.6,426606686.53958327
waco_converter_liquefaction,1052.631578942523,1779007.7932799999,0.0,0,314.1505224,0.95,n/a
waco_converter_terminalLiquid,1176.4705882298786,1088715.706825,268.70430211,0,0.0,0.85,n/a
