arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
abilene_center_highPurity,abilene_converter_liquefaction,1.0,0.0,0.0,0.0,99999999.9,500.0000000001533
abilene_converter_fuelDispenserLiquid,abilene_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,500.0
abilene_converter_liquefaction,abilene_converter_terminalLiquid,1.0,0.0,0.0,0.0,99999999.9,500.0000000001533
abilene_converter_terminalLiquid,abilene_dist_truckLiquefied,63.0,0.0,129.89507686758,0.0,99999999.9,500.0000000001533
abilene_demand_fuelStation,abilene_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,375.0
abilene_demand_fuelStation,abilene_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,125.0
abilene_dist_pipelineHighPurity,abilene_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,500.0000000001533
abilene_dist_pipelineHighPurity,fortWorth_dist_pipelineHighPurity,1.0,271695486.6863514,37222.28167603014,24.2637,999999.0,1999.9999999926058
abilene_dist_truckLiquefied,abilene_converter_fuelDispenserLiquid,63.0,0.0,0.0,0.0,8.0,500.0
amarillo_converter_fuelDispenserLiquid,amarillo_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,500.0
amarillo_demand_fuelStation,amarillo_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,375.0
amarillo_demand_fuelStation,amarillo_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,125.0
amarillo_dist_truckLiquefied,amarillo_converter_fuelDispenserLiquid,63.0,0.0,0.0,0.0,8.0,500.0
austin_center_highPurity,austin_converter_liquefaction,1.0,0.0,0.0,0.0,99999999.9,500.0000700034928
austin_converter_fuelDispenserLiquid,austin_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,500.0000699999999
austin_converter_liquefaction,austin_converter_terminalLiquid,1.0,0.0,0.0,0.0,99999999.9,500.0000700034928
austin_converter_terminalLiquid,austin_dist_truckLiquefied,63.0,0.0,128.32300021472,0.0,99999999.9,500.0000700034928
